Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
957870a593cf669183fd173bade74369fd280fdcc697f0c6394142dd2688867a,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
e7ef446b177064d4cfec00ef5758fe8a3647a18ea29eeffdf0b55b87d09d27d3,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a073bec650f653e2db78b32a851df4c6e3d92c3e6a5d3a3c2ff7225d12088dc4,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3d36fab09de08817b6b210ea92111a10f329ae3bb7e3fb451ff660cd48a1804d,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
2d3bd04b262ec0c8678f45489a554a9d6857ce849d60817940fb47655a102944,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
463556e12a2c49588c801f2827c446f7bea893957a89c579acab1f0a3685590b,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
bc610bfb4ae55fe8584e396732896486cf9eb8c452be5ac5b0405ef5b7ba39f0,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b25fe18d7f7ff3ec3ea8e0d5bb1c6d7260557c2770777eb8aa35d157a65f9d8a,2017-01,Metropolitan Police Service,Metropolitan Police Service,-0.288018,51.557471,On or near HIGH STREET,E01000616,Brent 020A,Investigation complete; no suspect identified
879adc14d06a12d3942ecb1b38d9d01768af6d30764c090c76f12c61d18d737b,2017-01,Metropolitan Police Service,Metropolitan Police Service,0.072267,51.477938,On or near NITHDALE ROAD,E01001681,Greenwich 020C,Investigation complete; no suspect identified
8a0eee81860ff520a0ea184fa78996b2cc1be6f4b86dd86fb96d627c3e1fc648,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
82a5f8bacfa69f94c706f700fff995da647be6580debae7b879b1663bee37082,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
3e7ac4ed7d9102b4083edefc7bf4634da7d7f36e48997e81e9d6049a9342c0e7,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0b81485065550dd293633d4bdbf89c48bce62942e6d922ec5aa700e7feef6e8d,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
837dbdd67f3dd07158c307d14be4458eea60e19d56732e17174e705b95898187,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8f3e603d6eeb811572d815c7b4ed7c74290cad9af0964df8a2c59de7e8d2f90c,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7ef7def6a78499ae8373eba12322722944e800d0c08082b0ea4d4468620e4fb2,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
88b4800264699b12a3abe99afa98ceb291a446bfb6ea271d542db2f55a0da320,2017-01,Metropolitan Police Service,Metropolitan Police Service,-0.238405,51.508231,On or near WILLOW VALE,E01001954,Hammersmith and Fulham 003A,Investigation complete; no suspect identified
d8a12bf79501c06262d8974615535cdb3a349243d3dafc5bb9deab277920e00e,2017-01,Metropolitan Police Service,Metropolitan Police Service,-0.43106,51.494637,On or near Parking Area,E01002490,Hillingdon 030D,Investigation complete; no suspect identified
bfe8b7d7058556f7afd3f646e322e7e9beb10510bc109ee2ed73fb4ca6e9221f,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
7453df9c436b4063c2eb77fce217f128639c777e3249b52d521feb9b3505ac8d,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
18862718e2251401ae7322ecbba952408ea9ea3d4e238ec3456f9c239643d637,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d7be58fa3837f7f2e9d8c0e2a53982ebbb1e67bda9441dbadbdff1778b5f6771,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fe41614d0bc10b31e1ae5f6ea6b99c277cc0dbe8cb02299672cfc7945df7c091,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
4b1d67e8bb55058c29dd549cd5d9aa5ee68c77d06049f4bb0606f95d4fe5df8e,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
be9c7b45a77e49d378f861264ce756c47781622ac1152f422909f70f8891eb18,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8ee1c2ef39e473ccdb53c0ab51afd11e6f3050710f2a9aa00e13add56ac26ba6,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9d6e2e9cc0c61b0b6acac89cc73ba7a605138f38fee112fcab2f9f64a58031f3,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
b7acc89b917e179f1977223e937b49ff097cec892becfc9b3902b392433d0ee1,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1846eb7dbcbb0e98aa4da862db398eadcd8babdd00f246b2168ab22b43aa5ff7,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8923819b617736a2ce778f3f092e22acce200f7de0ee4e9aaa351288e53e39a5,2017-01,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
