Ward name,crime decile,income decile,employment decile,housing decile,environment decile,education decile,IMD decile
Abbey,2,3,2,1,6,3,2
Abbey Road,1,2,2,1,8,2,2
Abbey Wood,8,8,8,5,3,8,8
Abingdon,3,0,0,6,9,0,2
Addiscombe East,4,3,4,2,3,4,3
Addiscombe West,3,5,4,5,7,5,5
Addison,8,6,6,4,8,2,6
Aldborough,4,3,3,4,3,4,3
Aldersgate,0,0,0,4,6,0,0
Alexandra,1,0,0,0,1,0,0
Alexandra Park,4,1,1,2,5,0,1
Alibon,5,7,7,8,3,8,7
Alperton,2,4,3,9,5,8,5
Arnos Grove,2,1,1,4,3,0,1
Arsenal,8,7,8,3,9,4,7
Ashford East,0,0,0,2,4,7,1
Ashford North and Stanwell South,8,3,5,6,3,9,5
Aveley and Uplands,6,2,2,1,0,9,3
Avonmore,3,4,4,5,8,2,4
Balham,5,2,1,1,5,0,1
Barking Riverside,9,8,8,9,2,8,9
Barkingside,3,2,1,2,2,2,1
Barnehurst,0,2,3,2,1,8,2
Barnes,1,1,1,0,4,1,1
Barnet Vale,2,2,2,4,2,1,2
Barnhill,5,5,5,8,3,4,5
Barnsbury,4,5,5,2,8,4,5
Battersea Park,4,5,4,4,8,2,4
Bayswater,8,2,1,1,9,1,2
Beam,7,7,7,9,7,9,8
Beam Park,8,8,9,3,3,9,8
Beckenham Town & Copers Cope,3,1,1,4,1,2,1
Beckton,6,7,7,9,1,7,8
Becontree,8,8,9,9,6,9,9
Beddington,2,2,2,2,1,4,1
Bedfont,3,6,5,6,3,9,6
Bellingham,8,9,9,8,5,9,9
Belmont,0,2,2,3,1,2,1
Belmore,6,5,4,6,2,7,5
Belsize,2,0,0,0,5,1,0
Belvedere,4,6,5,5,3,8,5
Bensham Manor,7,6,6,6,6,6,6
Berrylands,0,0,0,2,2,0,0
Bethnal Green East,8,8,7,4,8,7,7
Bethnal Green West,9,8,7,5,8,6,8
Bexleyheath,2,2,2,1,2,5,2
Bickley & Sundridge,1,1,2,4,1,1,1
Biggin Hill,0,1,1,1,0,6,0
Blackfen & Lamorbey,0,0,1,0,1,6,0
Blackheath,5,4,4,4,7,3,4
Blackheath Westcombe,5,3,3,4,3,1,3
Blackwall & Cubitt Town,0,7,8,3,0,8,6
Blendon & Penhill,0,0,1,1,1,6,1
Bloomsbury,4,1,1,2,9,2,3
Boleyn,4,7,6,9,6,8,7
Borough & Bankside,0,5,6,6,9,3,5
Bounds Green,6,5,5,6,8,3,5
Bow East,8,8,7,5,3,7,7
Bow West,9,7,6,3,7,6,6
Bowes,5,7,6,8,5,6,6
Brent,8,4,4,0,9,7,5
Brentford West,6,3,2,4,9,1,4
Bridge,5,3,4,2,2,6,3
Brimsdown,6,9,8,8,5,9,8
Brixton Acre Lane,9,5,5,3,9,3,6
Brixton North,9,8,8,5,9,7,9
Brixton Rush Common,8,6,5,3,9,4,6
Brixton Windrush,9,9,8,6,9,6,9
Broad Green,8,8,7,8,5,8,8
Brockley,7,5,5,6,9,4,6
Bromley Common & Holwood,2,3,3,5,1,5,3
Bromley North,9,9,9,4,4,8,9
Bromley South,8,9,9,4,3,9,9
Bromley Town,1,1,1,4,1,1,1
Brompton & Hans Town,2,0,0,7,9,1,2
Brondesbury Park,7,5,4,7,3,3,5
Brook Green,5,4,5,3,8,1,4
Brownswood,7,6,6,9,7,3,7
Bruce Castle,9,9,9,8,6,9,9
Brunswick Park,1,3,4,2,1,3,2
Buckhurst Hill East & Whitebridge,5,0,1,0,1,4,0
Bullsmoor,7,9,8,9,4,9,9
Bunhill,2,5,4,6,9,4,5
Burnt Oak,7,7,7,7,4,7,6
Bush Hill Park,1,2,1,4,2,3,1
Caledonian,6,8,8,5,6,7,8
Camberwell Green,8,8,8,6,8,5,8
Camden Square,6,8,9,3,9,6,8
Camden Town,9,8,9,2,7,5,9
Campden,2,0,0,4,9,0,1
Canary Wharf,0,5,3,6,3,4,4
Canbury Gardens,0,0,0,0,3,0,0
Cann Hall,4,7,6,8,8,7,7
Canning Town North,9,8,8,9,4,8,9
Canning Town South,9,9,9,9,6,8,9
Cannon Hill,0,1,1,0,3,2,0
Canonbury,8,7,8,2,6,6,7
Canons,1,2,2,7,0,1,2
Carshalton Central,1,1,1,0,1,1,0
Carshalton South & Clockhouse,0,1,2,0,0,2,0
Carterhatch,6,9,9,9,3,9,9
Catford South,4,5,6,6,7,5,5
Cathall,6,6,6,9,7,7,7
Cazenove,2,7,6,8,6,8,7
Centenary,0,2,1,5,1,3,1
Central Greenford,4,3,3,7,5,4,4
Chadwell Heath,6,7,7,8,2,8,7
Chalkwell,9,1,3,0,8,9,4
Champion Hill,2,4,4,5,6,4,4
Chapel End,6,4,3,7,7,6,5
Charlton Hornfair,7,7,8,4,4,6,7
Charlton Village & Riverside,9,7,8,6,4,6,7
Charville,4,4,4,4,2,7,4
Chaucer,7,6,6,6,9,3,6
Cheam,0,0,0,0,0,1,0
Chelsea Riverside,7,8,9,7,8,3,8
Chelsfield,0,1,2,2,0,2,0
Chessington South & Malden Rushett,1,2,2,1,0,6,1
Chigwell with Lambourne,4,1,3,0,0,6,1
Childs Hill,5,3,4,5,5,2,3
Chingford Green,4,3,4,6,4,5,4
Chislehurst,3,1,1,3,0,1,1
Chiswick Gunnersbury,3,2,2,3,6,1,2
Chiswick Homefields,3,1,1,2,5,1,1
Chiswick Riverside,6,3,3,2,5,1,3
Church Street,6,9,9,2,7,8,9
Churchfields,2,2,2,3,5,2,2
Cippenham Manor,4,2,1,8,0,4,3
Clapham Common & Abbeville,5,2,2,1,9,1,3
Clapham East,9,6,7,3,9,4,8
Clapham Park,4,6,5,4,8,6,6
Clapham Town,8,4,4,2,9,2,5
Claygate,0,0,0,2,0,0,0
Clayhall,3,2,1,2,2,2,1
Clementswood,5,7,6,5,4,8,5
Clerkenwell,6,6,6,3,9,4,6
Clissold,6,6,6,8,5,2,6
Clock House,1,2,3,2,4,2,2
Cockfosters,1,4,3,8,1,3,4
Colham & Cowley,6,4,5,5,2,8,5
Colindale North,5,9,9,9,1,8,9
College Park & Old Oak,6,9,9,7,7,7,9
Colliers Wood,3,3,3,1,8,2,3
Colville,9,7,8,7,9,1,7
Coningham,8,7,8,4,7,3,7
Coombe Hill,0,1,0,5,1,1,1
Coombe Vale,0,1,0,1,4,1,0
Coulsdon Town,1,1,2,2,0,3,1
Courtfield,3,0,0,7,9,0,3
Cranbrook,6,4,3,3,3,2,3
Cranford,4,6,5,8,4,7,6
Cranham,0,0,0,0,0,5,0
Crayford,4,4,6,4,2,9,5
Cricket Green,5,7,7,4,5,8,7
Cricklewood,9,8,8,8,5,6,8
Cricklewood & Mapesbury,7,5,6,8,5,4,6
Crockenhill and Well Hill,9,2,2,4,9,6,4
Crofton Park,2,4,4,3,8,3,4
Crook Log,0,1,2,0,1,5,1
Crouch End,5,2,2,3,8,0,3
Crystal Palace & Anerley,7,8,8,7,3,6,7
Crystal Palace & Upper Norwood,6,5,5,6,4,4,5
Cuddington,2,2,0,1,0,0,0
Custom House,8,9,9,9,3,8,9
Dalgarno,6,9,9,7,7,6,9
Dalston,9,6,6,8,9,1,8
Darwin,1,1,1,9,1,5,2
De Beauvoir,7,9,9,8,7,8,9
Deptford,9,9,9,8,6,7,9
Dollis Hill,9,7,7,9,5,8,8
Dormers Wells,5,7,7,8,4,8,7
Downham,6,9,9,8,7,9,9
Dulwich Hill,4,3,4,2,7,1,4
Dulwich Village,6,0,0,0,8,0,1
Dulwich Wood,7,4,5,5,3,2,4
Ealing Broadway,0,1,1,5,4,0,1
Ealing Common,6,3,4,6,7,2,4
Earl's Court,7,4,6,9,9,0,6
East Acton,6,6,6,7,7,4,6
East Barnet,3,3,3,2,2,3,2
East Finchley,2,4,3,4,3,2,3
East Greenwich,7,3,3,2,9,1,4
East Ham,7,5,4,9,9,7,7
East Ham South,6,8,7,9,7,8,8
East Putney,1,1,0,2,7,1,1
East Sheen,1,0,0,0,6,0,0
East Wickham,0,2,3,1,2,7,2
