Ward name,crime normalised,income normalised,employment normalised,housing normalised,environment normalised,education normalised,IMD normalised
Abbey,0.47389,0.28936,0.26337,0.38807,0.48243,0.12132,0.312
Abbey Road,0.43964,0.27037,0.23392,0.35594,0.55866,0.11086,0.26906
Abbey Wood,0.672,0.61623,0.58058,0.53793,0.35721,0.33132,0.63686
Abingdon,0.51774,0.12393,0.12149,0.59485,0.6542,0.01804,0.25925
Addiscombe East,0.55983,0.31113,0.34146,0.44457,0.38098,0.1694,0.35131
Addiscombe West,0.52629,0.40356,0.35999,0.54233,0.49806,0.19352,0.45047
Addison,0.67891,0.45859,0.4534,0.48328,0.55787,0.11263,0.50727
Aldborough,0.55891,0.33666,0.31144,0.48553,0.36862,0.16259,0.34049
Aldersgate,0.0,0.02147,0.04402,0.50129,0.46472,0.00038,0.13009
Alexandra,0.44061,0.1227,0.18343,0.2948,0.25859,0.04244,0.12127
Alexandra Park,0.56222,0.21574,0.21865,0.44437,0.44618,0.02174,0.25268
Alibon,0.60195,0.5454,0.4807,0.70904,0.37031,0.39325,0.60906
Alperton,0.50842,0.37291,0.28992,0.80994,0.45144,0.35807,0.47202
Arnos Grove,0.51274,0.20298,0.19734,0.50873,0.37834,0.04036,0.22832
Arsenal,0.69349,0.57003,0.52238,0.46593,0.59605,0.15699,0.58986
Ashford East,0.37181,0.13497,0.17168,0.40658,0.38816,0.30181,0.21064
Ashford North and Stanwell South,0.67441,0.33742,0.36537,0.58898,0.35681,0.63161,0.49348
Aveley and Uplands,0.60995,0.24233,0.26852,0.35926,0.16746,0.51016,0.32911
Avonmore,0.54043,0.34908,0.34424,0.51956,0.54074,0.10586,0.39708
Balham,0.57819,0.22822,0.19589,0.37765,0.43122,0.05056,0.24852
Barking Riverside,0.70781,0.63291,0.53409,1.0,0.30576,0.35068,0.71681
Barkingside,0.54042,0.26957,0.23163,0.40741,0.30777,0.09514,0.24205
Barnehurst,0.41063,0.28322,0.31254,0.42848,0.27244,0.32373,0.30021
Barnes,0.46844,0.20727,0.20689,0.2714,0.422,0.06838,0.20148
Barnet Vale,0.48641,0.27239,0.27953,0.49091,0.30164,0.06989,0.25797
Barnhill,0.58215,0.42945,0.39948,0.72694,0.36176,0.15785,0.46407
Barnsbury,0.57161,0.41893,0.37985,0.43786,0.53499,0.15737,0.4497
Battersea Park,0.56679,0.4312,0.35594,0.49626,0.53214,0.11851,0.43453
Bayswater,0.67833,0.23261,0.2245,0.39635,0.62429,0.07364,0.31592
Beam,0.63328,0.54417,0.47365,0.7873,0.49214,0.41931,0.65232
Beam Park,0.69065,0.58383,0.62213,0.4593,0.36439,0.54119,0.62898
Beckenham Town & Copers Cope,0.53067,0.21779,0.21297,0.50738,0.26763,0.09383,0.23222
Beckton,0.61069,0.56647,0.5072,0.92621,0.2791,0.3131,0.65258
Becontree,0.66532,0.62945,0.59515,0.74292,0.4554,0.42186,0.74215
Beddington,0.47708,0.22963,0.2591,0.41974,0.28415,0.17535,0.25026
Bedfont,0.5397,0.45399,0.4056,0.60271,0.36649,0.43701,0.50842
Bellingham,0.68499,0.77862,0.77915,0.68815,0.43497,0.52307,0.86453
Belmont,0.34564,0.22877,0.25642,0.47767,0.26482,0.10179,0.2299
Belmore,0.61572,0.4189,0.35022,0.58908,0.34266,0.29232,0.4528
Belsize,0.50428,0.17212,0.15896,0.32575,0.44225,0.07842,0.18231
Belvedere,0.56255,0.45534,0.40353,0.51694,0.37087,0.37019,0.46324
Bensham Manor,0.63595,0.47798,0.4354,0.58707,0.48618,0.24019,0.52906
Berrylands,0.2652,0.13497,0.16287,0.4176,0.32337,0.01628,0.13796
Bethnal Green East,0.67518,0.63301,0.50583,0.49957,0.52712,0.28171,0.62524
Bethnal Green West,0.7707,0.6435,0.51455,0.51489,0.58157,0.25962,0.69954
Bexleyheath,0.50844,0.23347,0.26315,0.371,0.33106,0.20617,0.26351
Bickley & Sundridge,0.41577,0.20107,0.23573,0.48394,0.25215,0.05609,0.21173
Biggin Hill,0.40583,0.19807,0.22322,0.4,0.11047,0.23706,0.19203
Blackfen & Lamorbey,0.37361,0.16564,0.21086,0.32497,0.25326,0.25114,0.1862
Blackheath,0.57974,0.37629,0.34336,0.50629,0.50031,0.15078,0.4123
Blackheath Westcombe,0.5934,0.30574,0.3184,0.49234,0.36776,0.07195,0.33574
Blackwall & Cubitt Town,0.39455,0.57055,0.52384,0.45831,0.23132,0.37895,0.52052
Blendon & Penhill,0.38868,0.17393,0.20293,0.36354,0.27749,0.2485,0.19919
Bloomsbury,0.56503,0.21779,0.2102,0.4468,0.85683,0.10528,0.33819
Boleyn,0.57292,0.53475,0.41013,0.79192,0.48117,0.32846,0.59488
Borough & Bankside,0.40692,0.45169,0.40939,0.57312,0.59502,0.12498,0.48605
Bounds Green,0.622,0.44018,0.40058,0.56891,0.55118,0.13732,0.47753
Bow East,0.68757,0.61248,0.48567,0.53941,0.38156,0.27803,0.61155
Bow West,0.75705,0.5219,0.42699,0.44725,0.50788,0.2251,0.55091
Bowes,0.58925,0.53015,0.42624,0.69081,0.44081,0.24371,0.52676
Brent,0.67441,0.36196,0.33895,0.29992,0.61184,0.30582,0.45402
Brentford West,0.61069,0.28936,0.24796,0.50777,0.71925,0.06424,0.38636
Bridge,0.57825,0.30061,0.32262,0.42646,0.31047,0.2224,0.32581
Brimsdown,0.61827,0.67451,0.56345,0.7051,0.43161,0.51594,0.68789
Brixton Acre Lane,0.71546,0.42813,0.39869,0.45861,0.70158,0.15028,0.55985
Brixton North,0.75393,0.63258,0.54048,0.52911,0.7233,0.29637,0.72878
Brixton Rush Common,0.67982,0.4931,0.39508,0.47643,0.65624,0.1802,0.543
Brixton Windrush,0.78003,0.65798,0.57811,0.56149,0.67173,0.23123,0.73787
Broad Green,0.69393,0.5869,0.49007,0.71148,0.43765,0.38268,0.65937
Brockley,0.63695,0.41003,0.37382,0.60101,0.64825,0.16442,0.51786
Bromley Common & Holwood,0.5053,0.30163,0.31109,0.52435,0.27043,0.19819,0.32502
Bromley North,0.70727,0.7858,0.63754,0.51033,0.42432,0.35838,0.73224
Bromley South,0.68828,0.75307,0.65149,0.50556,0.35312,0.47333,0.71916
Bromley Town,0.41876,0.22482,0.22199,0.48915,0.27335,0.06158,0.21848
Brompton & Hans Town,0.49133,0.16083,0.14214,0.63444,0.66708,0.0736,0.31571
Brondesbury Park,0.64384,0.41908,0.35269,0.64052,0.38514,0.11916,0.44747
Brook Green,0.593,0.37853,0.39002,0.44772,0.5595,0.08253,0.42019
Brownswood,0.65172,0.47291,0.40864,0.74754,0.51978,0.13032,0.58877
Bruce Castle,0.74816,0.76994,0.67791,0.6811,0.48155,0.50615,0.81507
Brunswick Park,0.45855,0.30368,0.32223,0.43529,0.26159,0.1249,0.27652
Buckhurst Hill East & Whitebridge,0.58821,0.16258,0.2245,0.23078,0.24911,0.18769,0.1837
Bullsmoor,0.64076,0.6631,0.57741,0.7495,0.39762,0.52214,0.70957
Bunhill,0.48534,0.44785,0.35801,0.56408,0.61042,0.1721,0.46924
Burnt Oak,0.63291,0.54098,0.47502,0.64561,0.3983,0.30994,0.55767
Bush Hill Park,0.42511,0.23531,0.22829,0.48283,0.3118,0.11995,0.23627
Caledonian,0.60753,0.64776,0.56491,0.5266,0.4785,0.30292,0.65743
Camberwell Green,0.69734,0.60086,0.55298,0.59804,0.58023,0.20688,0.65841
Camden Square,0.62552,0.64518,0.59282,0.45113,0.60832,0.24157,0.62751
Camden Town,0.90413,0.64212,0.63534,0.42401,0.49809,0.2087,0.7225
Campden,0.48746,0.11298,0.12986,0.50454,0.66293,0.01201,0.23078
Canary Wharf,0.32618,0.40681,0.31417,0.55938,0.37188,0.17314,0.39076
Canbury Gardens,0.35874,0.15745,0.18193,0.3299,0.35228,0.01445,0.1372
Cann Hall,0.57069,0.55454,0.44755,0.6872,0.52927,0.29328,0.59887
Canning Town North,0.70225,0.62699,0.56081,0.81684,0.42342,0.32394,0.7209
Canning Town South,0.78098,0.81748,0.62728,0.84953,0.46061,0.34198,0.87193
Cannon Hill,0.39784,0.20911,0.20104,0.33354,0.36514,0.09839,0.19367
Canonbury,0.6833,0.58193,0.52762,0.44376,0.48529,0.25245,0.59303
Canons,0.42146,0.27095,0.26707,0.61791,0.19152,0.07048,0.2616
Carshalton Central,0.45706,0.21209,0.2308,0.26796,0.29959,0.08526,0.18857
Carshalton South & Clockhouse,0.37948,0.20193,0.24136,0.32887,0.22094,0.10951,0.18385
Carterhatch,0.62365,0.76163,0.65779,0.73347,0.37946,0.53883,0.76067
Catford South,0.57235,0.44172,0.42114,0.56392,0.52375,0.21956,0.4909
Cathall,0.61607,0.5138,0.438,0.74714,0.5018,0.27753,0.59246
Cazenove,0.49525,0.55653,0.41317,0.71373,0.45813,0.34282,0.57618
Centenary,0.40373,0.24408,0.19056,0.54057,0.26005,0.12079,0.22514
Central Greenford,0.55125,0.34166,0.31417,0.64641,0.4384,0.18055,0.40447
Chadwell Heath,0.62055,0.54206,0.50121,0.71106,0.34617,0.39037,0.62481
Chalkwell,0.75162,0.22086,0.29493,0.30625,0.55503,0.45182,0.41278
Champion Hill,0.47476,0.3865,0.32575,0.54321,0.46137,0.15584,0.3951
Chapel End,0.60224,0.3819,0.29273,0.63347,0.49011,0.24354,0.43879
Charlton Hornfair,0.64197,0.52454,0.55025,0.51199,0.39488,0.26213,0.56328
Charlton Village & Riverside,0.70002,0.55752,0.55685,0.56592,0.38822,0.23007,0.59594
Charville,0.55269,0.35187,0.33957,0.49078,0.32207,0.29893,0.37937
Chaucer,0.63453,0.49693,0.40886,0.60164,0.60196,0.14489,0.55871
Cheam,0.3315,0.14264,0.15332,0.34532,0.20325,0.06605,0.12579
Chelsea Riverside,0.64776,0.65592,0.64564,0.64033,0.56592,0.13138,0.6712
Chelsfield,0.31459,0.18975,0.23203,0.4173,0.18544,0.11022,0.18278
Chessington South & Malden Rushett,0.46256,0.26534,0.25532,0.39161,0.23151,0.23756,0.24687
Chigwell with Lambourne,0.56147,0.21166,0.28613,0.26388,0.1674,0.24329,0.22026
Childs Hill,0.59434,0.33212,0.32694,0.52625,0.43518,0.09152,0.35435
Chingford Green,0.55947,0.34101,0.3331,0.56944,0.39196,0.21902,0.39682
Chislehurst,0.53356,0.17669,0.19853,0.46889,0.22913,0.08534,0.21079
Chiswick Gunnersbury,0.51785,0.26117,0.2503,0.4647,0.47983,0.06057,0.2838
Chiswick Homefields,0.52868,0.22052,0.21865,0.4354,0.44367,0.0554,0.25353
Chiswick Riverside,0.62729,0.30552,0.31518,0.42999,0.45027,0.05237,0.34449
Church Street,0.62794,0.92902,0.9106,0.44288,0.52656,0.34814,0.85439
Churchfields,0.49675,0.27454,0.25488,0.46706,0.42721,0.10226,0.28757
Cippenham Manor,0.56922,0.28528,0.2201,0.66656,0.22711,0.15281,0.33623
Clapham Common & Abbeville,0.59081,0.28221,0.2352,0.39214,0.65214,0.07783,0.36417
Clapham East,0.77932,0.5046,0.46296,0.4767,0.68835,0.17234,0.63695
Clapham Park,0.56201,0.50359,0.40498,0.50664,0.58957,0.22612,0.52917
Clapham Town,0.68752,0.36196,0.34776,0.42474,0.61324,0.114,0.46256
Claygate,0.23688,0.03374,0.06163,0.41757,0.13506,0.00819,0.06446
Clayhall,0.54489,0.24387,0.19589,0.4063,0.31704,0.09075,0.22253
Clementswood,0.5912,0.55828,0.42699,0.52353,0.39863,0.35602,0.49214
Clerkenwell,0.60388,0.49825,0.46032,0.47563,0.62017,0.1649,0.54184
Clissold,0.61738,0.5065,0.44407,0.66127,0.44495,0.10895,0.55908
Clock House,0.46075,0.25071,0.27975,0.40669,0.40417,0.10941,0.26261
Cockfosters,0.44678,0.34969,0.29859,0.70894,0.26922,0.14706,0.36947
Colham & Cowley,0.60347,0.39294,0.38165,0.53469,0.30323,0.3627,0.45852
